# k1/kF k2/kF k3/kF P(k1) P(k2)       P(k3)       B0+BSN        BSN    N_tr    B2      B4
# 
18 16 8 8.87933197e+01 1.04202759e+02 2.20283844e+02 6.54584609e+04 2.04115508e+04 1.45903200e+06 2.10706074e+04 1.94231836e+04
18 16 10 8.87933197e+01 1.04202759e+02 1.90377258e+02 5.50133516e+04 1.90783047e+04 1.83309612e+06 2.45614844e+03 6.35028516e+03
18 16 12 8.87933197e+01 1.04202759e+02 1.56465820e+02 4.93937969e+04 1.75665234e+04 2.16964800e+06 3.95748755e+03 1.34669385e+04
18 16 14 8.87933197e+01 1.04202759e+02 1.31471008e+02 5.03317266e+04 1.64522461e+04 2.53591200e+06 6.18679785e+03 1.46541797e+03
18 16 16 8.87933197e+01 1.04202759e+02 1.04202759e+02 4.05083008e+04 1.52366201e+04 2.88804000e+06 7.79216846e+03 3.34481211e+04
18 18 2 8.87933197e+01 8.87933197e+01 6.35353516e+02 1.76507297e+05 3.82285234e+04 3.29880000e+05 8.67541250e+04 -2.50862930e+04
18 18 4 8.87933197e+01 8.87933197e+01 3.98782349e+02 9.42285625e+04 2.76821113e+04 8.16696000e+05 -2.33049688e+04 2.10365195e+04
18 18 6 8.87933197e+01 8.87933197e+01 3.13019745e+02 8.16369453e+04 2.38587891e+04 1.21929600e+06 1.81113262e+04 1.89779707e+04
18 18 8 8.87933197e+01 8.87933197e+01 2.20283844e+02 6.25753281e+04 1.97245918e+04 1.65976788e+06 2.55709336e+04 -1.16479648e+04
18 18 10 8.87933197e+01 8.87933197e+01 1.90377258e+02 5.52457539e+04 1.83913477e+04 2.08538412e+06 -4.91706592e+03 9.61832812e+03
18 18 12 8.87933197e+01 8.87933197e+01 1.56465820e+02 4.43444492e+04 1.68795664e+04 2.46828000e+06 -3.13892603e+03 2.81611719e+03
18 18 14 8.87933197e+01 8.87933197e+01 1.31471008e+02 4.48904219e+04 1.57652891e+04 2.88523200e+06 7.55594971e+03 2.88232471e+03
18 18 16 8.87933197e+01 8.87933197e+01 1.04202759e+02 4.37999102e+04 1.45496621e+04 3.28339200e+06 5.68523633e+03 4.59669043e+03
18 18 18 8.87933197e+01 8.87933197e+01 8.87933197e+01 3.00080391e+04 1.38627051e+04 3.73749600e+06 4.16415674e+03 2.86201843e+02
20 10 10 7.83916702e+01 1.90377258e+02 1.90377258e+02 1.08933922e+05 2.24562812e+04 6.27374000e+05 6.32547461e+04 -2.32798080e+02
20 12 8 7.83916702e+01 1.56465820e+02 2.20283844e+02 9.54835781e+04 2.22777441e+04 5.83058000e+05 6.42174727e+04 3.99403047e+04
20 12 10 7.83916702e+01 1.56465820e+02 1.90377258e+02 8.16321562e+04 2.09445000e+04 1.49311812e+06 5.48000703e+04 1.85195566e+04
20 12 12 7.83916702e+01 1.56465820e+02 1.56465820e+02 7.14532266e+04 1.94327168e+04 1.81372800e+06 3.40305977e+04 1.74321602e+04
20 14 6 7.83916702e+01 1.31471008e+02 3.13019745e+02 1.07422078e+05 2.52976641e+04 4.95958000e+05 7.33614453e+04 3.15822539e+04
20 14 8 7.83916702e+01 1.31471008e+02 2.20283844e+02 8.10120156e+04 2.11634688e+04 1.38771000e+06 4.41295820e+04 2.97316211e+04
20 14 10 7.83916702e+01 1.31471008e+02 1.90377258e+02 6.97893984e+04 1.98302227e+04 1.78864800e+06 2.38691602e+04 -1.63312920e+04
20 14 12 7.83916702e+01 1.31471008e+02 1.56465820e+02 6.43709141e+04 1.83184414e+04 2.11742400e+06 1.35562988e+04 -5.61138818e+03
20 14 14 7.83916702e+01 1.31471008e+02 1.31471008e+02 5.26248125e+04 1.72041641e+04 2.47636800e+06 4.74267627e+03 -2.51636992e+04
20 16 4 7.83916702e+01 1.04202759e+02 3.98782349e+02 1.25698234e+05 2.79053594e+04 3.78614000e+05 4.88771602e+04 -1.24503184e+04
20 16 6 7.83916702e+01 1.04202759e+02 3.13019745e+02 1.03228102e+05 2.40820371e+04 1.15935800e+06 5.69491055e+04 1.36586963e+04
20 16 8 7.83916702e+01 1.04202759e+02 2.20283844e+02 6.40976250e+04 1.99478418e+04 1.62220788e+06 2.31440488e+04 -4.48318207e+02
20 16 10 7.83916702e+01 1.04202759e+02 1.90377258e+02 5.93025117e+04 1.86145957e+04 2.03817600e+06 8.39862012e+03 2.47598242e+03
20 16 12 7.83916702e+01 1.04202759e+02 1.56465820e+02 5.19146406e+04 1.71028145e+04 2.41010400e+06 7.35938281e+03 -4.65102832e+03
20 16 14 7.83916702e+01 1.04202759e+02 1.31471008e+02 4.93840586e+04 1.59885371e+04 2.81832000e+06 1.62948438e+04 -4.37473877e+03
20 16 16 7.83916702e+01 1.04202759e+02 1.04202759e+02 4.04413477e+04 1.47729111e+04 3.21019200e+06 7.90740918e+03 -4.90353027e+03
20 18 2 7.83916702e+01 8.87933197e+01 6.35353516e+02 1.45318078e+05 3.77648164e+04 2.01416016e+05 -8.69235449e+03 -1.05845773e+05
20 18 4 7.83916702e+01 8.87933197e+01 3.98782349e+02 1.04509891e+05 2.72184023e+04 8.86046000e+05 4.72333086e+04 6.80657520e+03
20 18 6 7.83916702e+01 8.87933197e+01 3.13019745e+02 8.34797031e+04 2.33950801e+04 1.35446400e+06 2.81057500e+04 -7.75034082e+03
20 18 8 7.83916702e+01 8.87933197e+01 2.20283844e+02 5.94708594e+04 1.92608848e+04 1.84394400e+06 1.46749902e+04 -5.17997021e+03
20 18 10 7.83916702e+01 8.87933197e+01 1.90377258e+02 5.49662070e+04 1.79276387e+04 2.31688800e+06 5.72637207e+03 -9.58303809e+03
20 18 12 7.83916702e+01 8.87933197e+01 1.56465820e+02 4.46772344e+04 1.64158574e+04 2.74399200e+06 3.80518164e+03 -7.87908984e+03
20 18 14 7.83916702e+01 8.87933197e+01 1.31471008e+02 4.24326406e+04 1.53015801e+04 3.20757600e+06 2.22086938e+03 -4.52144165e+02
20 18 16 7.83916702e+01 8.87933197e+01 1.04202759e+02 3.90329297e+04 1.40859531e+04 3.65042400e+06 1.82164941e+03 -1.15911108e+03
20 18 18 7.83916702e+01 8.87933197e+01 8.87933197e+01 3.58041758e+04 1.33989961e+04 4.15430400e+06 -4.28049463e+03 -1.38929858e+03
20 20 2 7.83916702e+01 7.83916702e+01 6.35353516e+02 1.69272906e+05 3.73011094e+04 4.07104000e+05 1.18538734e+05 4.77129346e+03
20 20 4 7.83916702e+01 7.83916702e+01 3.98782349e+02 9.32227422e+04 2.67546934e+04 1.00984800e+06 -1.96316296e+03 -4.70444434e+03
20 20 6 7.83916702e+01 7.83916702e+01 3.13019745e+02 7.64177344e+04 2.29313711e+04 1.50662388e+06 2.21102910e+04 -1.38473711e+04
20 20 8 7.83916702e+01 7.83916702e+01 2.20283844e+02 5.18421641e+04 1.87971758e+04 2.05147200e+06 1.24217002e+04 -5.63524414e+03
20 20 10 7.83916702e+01 7.83916702e+01 1.90377258e+02 4.92921641e+04 1.74639297e+04 2.57464800e+06 4.79023779e+03 6.75519257e+01
